Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2016,"Незаконное приобретение, хранение, перевозка, производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ (6.16.1 КоАП)","Незаконное приобретение, хранение, перевозка, производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ (6.16.1 КоАП)",32,19,59.0,2,0.0,14,56,5,0,0,0,0,3
2017,"Незаконное приобретение, хранение, перевозка, производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ (6.16.1 КоАП)","Незаконное приобретение, хранение, перевозка, производство, сбыт или пересылка прекурсоров наркотических средств или психотропных веществ (6.16.1 КоАП)",37,24,64.0,4,0.0,20,84,4,0,0,0,0,4
2016,"Нарушение законодательства о защите детей от информации, причиняющей вред их здоровью и (или) развитию (6.17 КоАП)","Нарушение законодательства о защите детей от информации, причиняющей вред их здоровью и (или) развитию (6.17 КоАП)",452,288,63.0,44,0.0,277,3337,0,0,0,4,40,12
2017,"Нарушение законодательства о защите детей от информации, причиняющей вред их здоровью и (или) развитию (6.17 КоАП)","Нарушение законодательства о защите детей от информации, причиняющей вред их здоровью и (или) развитию (6.17 КоАП)",906,590,65.0,81,0.0,498,6398,0,0,0,2,47,11
2016,Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним (6.18 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним (6.18 КоАП),1,1,100.0,0,0.0,1,3,0,0,0,0,0,3
2017,Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним (6.18 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований о предотвращении допинга в спорте и борьбе с ним (6.18 КоАП),1,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2016,Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2016,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2016,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),10,4,40.0,2,0.0,4,250,0,0,0,0,0,63
2017,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),8,3,37.0,0,0.0,3,100,0,0,0,0,0,33
2017,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),1,1,100.0,0,0.0,1,4,0,0,0,0,0,4
2017,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",37,23,62.0,4,0.0,23,103,0,0,0,0,0,4
2017,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),38,23,60.0,2,0.0,9,144,0,0,0,1,0,6
2017,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",45,18,40.0,4,0.0,16,1315,0,0,0,0,0,73
2016,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",38493,24077,62.0,2198,0.0,19421,107076,2048,0,0,3,0,4
2017,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",2677,1865,69.0,173,0.0,1483,8224,111,0,0,1,0,4
2016,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",163904,134050,81.0,5030,0.0,88654,449113,36729,0,430,5623,85,3
