Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2024,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,130,21,16.0,0,0.0,0
2021,Иски об оспаривании зарегистрированных прав на недвижимость,Иски об оспаривании зарегистрированных прав на недвижимость,492,158,32.0,0,0.0,0
2018,Иски о возврате из бюджета налогов и сборов,Иски о возврате из бюджета налогов и сборов,540,234,43.3,68568,6.8,293
2019,Иски о возврате из бюджета налогов и сборов,Иски о возврате из бюджета налогов и сборов,622,298,47.0,330447,36.0,1108
2020,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,32,7,21.0,97,0.0,14
2022,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,5,0,0.0,0,0.0,0
2023,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,5,0,0.0,0,0.0,0
2024,Иски об уклонении от государственной регистрации юрлиц и ИП,Иски об уклонении от государственной регистрации юрлиц и ИП,23,10,43.0,0,0.0,0
2021,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,1207,498,41.0,0,0.0,0
2018,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,57,18,31.6,3082,1.1,171
2019,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,59,21,35.0,2733,2.0,130
2020,Таможенные споры,Таможенные споры,4875,2473,50.0,4579421,81.0,1852
2022,Иски об оспаривании решений налоговой службы,Иски об оспаривании решений налоговой службы,7384,2303,31.0,125548,4.0,54
2023,Иски об оспаривании решений налоговой службы,Иски об оспаривании решений налоговой службы,7525,4338,58.0,227748,9.0,53
2024,Иски об оспаривании зарегистрированных прав на недвижимость,Иски об оспаривании зарегистрированных прав на недвижимость,340,127,37.0,1725,63.0,13
2021,Иски об уклонении от государственной регистрации прав на недвижимость,Иски об уклонении от государственной регистрации прав на недвижимость,142,49,34.0,0,0.0,0
2018,Таможенные споры,Таможенные споры,7415,3724,50.2,1293692,70.7,347
2019,Таможенные споры,Таможенные споры,5341,2696,50.0,3773834,78.0,1399
2020,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,1,0,0.0,0,0.0,0
2022,Иски о возмещении НДС,Иски о возмещении НДС,82,12,14.0,212,1.0,17
2023,Иски о возмещении НДС,Иски о возмещении НДС,96,65,68.0,0,0.0,0
2024,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,747,356,47.0,0,0.0,0
2021,Налоговые споры,Налоговые споры,16623,4215,25.0,7817694,29.0,1855
2018,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,1,0,0.0,0,0.0,0
