Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2016,146 ч.3,Статья 146 часть 3 УК РФ,314,1,15,274,0,3,3,0,0
2017,146 ч.3,Статья 146 часть 3 УК РФ,283,1,7,262,0,4,1,2,3
2016,147 ч.1,Статья 147 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,147 ч.1,Статья 147 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,147 ч.2,Статья 147 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,147 ч.2,Статья 147 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,148 ч.1,Статья 148 часть 1 УК РФ,5,0,0,0,0,0,0,4,0
2017,148 ч.1,Статья 148 часть 1 УК РФ,4,1,0,0,0,3,0,1,1
2016,148 ч.2,Статья 148 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,148 ч.2,Статья 148 часть 2 УК РФ,1,0,0,0,0,1,0,0,0
2016,148 ч.3,Статья 148 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,148 ч.3,Статья 148 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,148 ч.4,Статья 148 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2017,148 ч.4,Статья 148 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2016,149,Статья 149 УК РФ,0,0,0,0,0,0,0,0,0
2017,149,Статья 149 УК РФ,0,0,0,0,0,0,0,0,0
2016,150 ч.1,Статья 150 часть 1 УК РФ,242,1,34,191,1,2,2,4,0
2017,150 ч.1,Статья 150 часть 1 УК РФ,210,0,31,169,1,3,3,2,0
2016,150 ч.2,Статья 150 часть 2 УК РФ,30,0,5,22,1,0,0,2,0
2017,150 ч.2,Статья 150 часть 2 УК РФ,31,1,6,23,0,0,1,1,0
2016,150 ч.3,Статья 150 часть 3 УК РФ,9,0,5,4,0,0,0,0,0
2017,150 ч.3,Статья 150 часть 3 УК РФ,10,0,4,6,0,0,0,0,0
2016,150 ч.4,Статья 150 часть 4 УК РФ,161,1,67,90,0,0,0,2,0
2017,150 ч.4,Статья 150 часть 4 УК РФ,168,1,77,88,0,1,1,1,0
2016,151 ч.1,Статья 151 часть 1 УК РФ,121,0,14,26,1,5,15,53,0
2017,151 ч.1,Статья 151 часть 1 УК РФ,119,0,17,21,0,2,12,66,1
2016,151 ч.2,Статья 151 часть 2 УК РФ,58,0,2,43,13,0,0,0,0
2017,151 ч.2,Статья 151 часть 2 УК РФ,54,0,4,29,17,3,0,1,0
2016,151 ч.3,Статья 151 часть 3 УК РФ,1,0,0,1,0,0,0,0,0
2017,151 ч.3,Статья 151 часть 3 УК РФ,5,0,3,2,0,0,0,0,0
2016,151.1,Статья 151.1 УК РФ,523,0,0,0,0,266,178,0,0
2017,151.1,Статья 151.1 УК РФ,576,1,0,2,0,293,195,0,1
2017,151.2,Статья 151.2 УК РФ,0,0,0,0,0,0,0,0,0
2016,153,Статья 153 УК РФ,0,0,0,0,0,0,0,0,0
2017,153,Статья 153 УК РФ,0,0,0,0,0,0,0,0,0
2016,154,Статья 154 УК РФ,0,0,0,0,0,0,0,0,0
2017,154,Статья 154 УК РФ,1,0,0,0,0,0,0,1,0
